Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_prep_no_IS_Pos_0uL,Luca140818_lipid_Pos_co_culture_1,Luca140818_lipid_Pos_co_culture_2,Luca140818_lipid_Pos_co_culture_3,Luca140818_lipid_Pos_co_culture_4,Luca140818_lipid_Pos_co_culture_5,Luca140818_lipid_Pos_hela_1,Luca140818_lipid_Pos_hela_2,Luca140818_lipid_Pos_hela_3,Luca140818_lipid_Pos_hela_4,Luca140818_lipid_Pos_hela_5,Luca140818_lipid_Pos_nih_1,Luca140818_lipid_Pos_nih_2,Luca140818_lipid_Pos_nih_3,Luca140818_lipid_Pos_nih_4,Luca140818_lipid_Pos_nih_5
11661,15.91,696.65942,CE 20:1,[M+NH4]+,adduct linked to 11332_[M+H]+; adduct linked to 11772_[M+Na]+; similar chromatogram in higher mz_13504,0.938,True,15.14,696.66528,C47H82O2,CE,OWTYWMJVQZQWFH-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCCCC=CCCCCCCCC,410,True,True,True,,False,False,null,null,84.4,99.5,17.6,68.7,100,28888.32,Luca140818_lipid_Pos_hela_1,696.65967:7929900 697.66302:5725635 698.66638:1604412,50.40785:2052 51.01173:1824 57.06945:8666 60.08018:7582 60.22889:2290 68.00967:2199 69.06889:3983 71.08471:2967 81.06903:15234 83.0847:8771 85.10055:2947 93.06891:5388 95.08434:16578 97.10031:2931 97.92142:11334 105.06927:3885 107.08482:8617 109.10059:20008 117.99278:2240 121.10098:9111 123.11678:6642 133.10007:4055 135.117:16555 147.11574:25632 149.13042:9831 159.11548:2564 161.13109:21199 175.14684:12866 189.16344:3855 191.75385:2088 203.18517:2917 215.18939:5056 228.28726:3631 228.31017:3240 287.27679:2630 369.34592:22957 593.79047:2383,0,3732908,6278902,3912692,3880481,4033133,7929900,12259189,13030435,11410771,6846848,178601,183462,203061,200744,146288
11595,15.294,692.63074,CE 20:3,[M+NH4]+,ion correlated with 12297; adduct linked to 11685_[M+Na]+; similar chromatogram in higher mz_14762; similar chromatogram in higher mz_20118; similar chromatogram in higher mz_20120; similar chromatogram in higher mz_20124,0.938,True,14.58,692.63397,C47H78O2,CE,ARRNWLFGLUXSFU-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCCCC=CCC=CCC=CCC,410,True,True,True,,False,False,null,null,91.2,99.6,15.4,68.8,100,77966.59,Luca140818_lipid_Pos_nih_2,692.63074:4094895 693.63409:2068207 694.63745:367547,57.06944:2426 67.11886:9631 67.12303:21290 69.06941:2832 71.08469:3159 77.55908:2100 79.0537:4186 81.06898:19272 83.08468:12144 89.04617:1927 89.12512:2143 91.05304:2642 93.06888:2821 95.08451:23165 97.10029:4632 97.92232:6747 101.54292:2201 102.38674:2080 105.06924:3718 107.0848:13918 109.10031:21854 109.73581:1802 119.08492:3253 121.10094:10011 123.11546:4505 133.10002:8514 135.11647:16485 135.79434:2208 147.11545:35935 149.13037:4683 151.14758:2955 159.11543:2319 161.1315:24271 163.14667:2807 175.14679:8485 184.07361:2498 189.16338:4280 203.18512:2740 219.22145:2732 243.21823:2370 319.59198:2334 369.3468:22522 419.11823:2325 450.58319:2514,0,13885113,12177606,9730953,14453635,14097044,11411001,16506758,13240211,16545584,14737629,3892106,4094895,3693919,3741155,3732192
11561,15.098,690.61169,CE 20:4,[M+NH4]+,adduct linked to 11647_[M+Na]+; adduct linked to 11646_[M+Na]+,0.938,True,14.37,690.61841,C47H76O2,CE,HZUAPDDXDDVFOX-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCC=CCC=CCC=CCC=CCC,410,True,True,True,,False,False,null,null,81.4,99.6,22.9,68.8,100,15591,Luca140818_lipid_Pos_nih_3,690.61182:11728102 691.61517:8444045 692.61853:2196172,55.05391:2651 67.0537:2746 69.06941:2834 81.06901:5056 83.08468:3820 93.06888:2959 95.08459:8612 95.24222:2008 97.92967:9594 105.06924:2685 107.08479:3670 109.10069:5078 133.10002:2933 135.1167:4864 136.50864:2069 147.11577:14307 149.1321:3647 154.60417:2247 161.13153:11414 163.14667:2657 227.31432:3870 369.34644:12439 399.22345:2271,0,22348630,20887152,21726548,29600992,23868710,25365902,30249936,32069326,35205288,28516026,12011106,14245259,11728102,11247728,10820691
12282,15.9,722.67401,CE 22:2,[M+NH4]+,adduct linked to 12381_[M+Na]+; adduct linked to 20370_[2M+H]+; adduct linked to 20371_[2M+H]+; adduct linked to 20372_[2M+H]+,0.625,True,15.24,722.68103,C49H84O2,CE,YSGVSTJGBYXXIM-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCCCCCC=CCC=CCCCCC,410,True,True,True,,False,False,null,null,83,99.6,17.3,68.1,100,5339.06,Luca140818_lipid_Pos_hela_5,722.6748:2090147 723.67815:1045705 724.68151:369439,51.2211:2099 60.08018:5413 69.2347:2574 69.23853:2246 81.06902:10641 83.08469:2743 86.09512:4659 93.06889:3044 95.08453:17003 105.06926:3317 107.08481:5186 109.1007:7907 111.11607:2916 119.08494:3715 121.10096:3503 122.64387:1908 123.11547:2540 124.93678:5330 133.10004:3293 135.11673:10069 147.1156:16615 149.13039:3144 161.13156:11228 175.1468:4525 180.60985:2120 184.07126:8523 203.18239:2210 214.0768:2219 259.24744:2797 327.07516:2540 369.34821:17871 451.21896:5072 452.22073:5527 495.26001:4294,0,2040596,2632813,1659718,1895252,1741753,2578948,18359,3435243,3305653,2090147,181538,79137,55213,157250,139069
12142,15.097,716.63116,CE 22:5,[M+NH4]+,adduct linked to 12255_[M+Na]+; adduct linked to 11719_[M+H]+,0.938,True,14.36,716.63397,C49H78O2,CE,XOLZNHXNFMEUGA-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCC=CCC=CCC=CCC=CCC=CCC,410,True,True,True,,False,False,null,null,92.4,99.6,16.5,68.3,100,19272.67,Luca140818_lipid_Pos_nih_3,716.63116:16135406 717.63451:10741124 718.63787:3494754,55.05391:2345 57.06984:3664 67.0537:8447 69.06941:4704 71.08469:5512 73.84299:2051 79.05302:3139 81.06879:21737 83.08468:14124 85.10052:2391 93.06888:12656 95.08423:26686 95.43118:2137 97.10028:9352 105.06924:8304 107.08479:13872 109.10057:27043 109.80344:2104 111.11606:9248 119.08492:9993 121.10094:12575 123.11675:10490 133.10149:10583 135.11636:27971 147.11557:36208 148.1178:2219 149.1321:13159 159.11543:3963 161.13095:30484 163.14665:3026 165.16185:2821 175.14679:10189 179.17938:2253 185.15144:2373 189.16338:2880 201.16438:5124 203.1851:3208 215.19232:8017 243.21822:4915 257.23453:4696 369.34653:31205 375.79239:2554,0,104072856,90613872,86475672,112782552,94923568,86534320,111475760,106551296,139945008,107675344,14722430,17250296,16135406,15608114,11818103
12086,14.968,714.61609,CE 22:6,[M+NH4]+,adduct linked to 11684_[M+H]+; adduct linked to 12213_[M+Na]+; adduct linked to 12216_[M+Na]+; similar chromatogram in higher mz_12088; similar chromatogram in higher mz_18904; similar chromatogram in higher mz_18803,0.938,True,14.21,714.61841,C49H76O2,CE,VOEVEGPMRIYYKC-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,True,True,True,,False,False,null,null,93.7,99.6,17.6,68.3,100,7918.35,Luca140818_lipid_Pos_co_culture_1,714.61627:179259568 715.61962:129803744 716.62298:36769512,55.0539:3747 67.0537:2979 69.06886:9279 71.08469:4445 72.48308:2432 76.32603:2385 76.69486:1939 81.06906:17563 83.08467:8502 93.06887:4086 95.08472:20814 97.10027:4478 105.06924:4312 107.08479:4999 109.10059:17064 119.08491:8394 121.10093:9679 123.11544:4374 133.10147:4014 135.1167:13395 145.09883:2298 147.11565:27115 149.13036:4868 161.13182:22636 175.14677:11655 215.1893:3134 227.12262:2309 233.23448:3631 259.24738:2507 309.71722:2253 369.34622:21454 498.44296:2405 676.31781:2567,3566,179259568,160892464,167806336,207718448,185298944,153141136,190588048,185438672,249835616,190361872,28755418,36539760,31715368,30603562,27501764
13064,16.773,752.72394,CE 24:1,[M+NH4]+,adduct linked to 12620_[M+H]+; adduct linked to 13148_[M+Na]+,0.625,True,16.25,752.72791,C51H90O2,CE,NHTXXNHMZGOTGQ-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCCCCCC=CCCCCCCCCCC,410,True,True,True,,False,False,null,null,93.5,99.7,19.6,67.5,100,222.96,Luca140818_lipid_Pos_hela_1,752.72552:2219339 753.72887:1285700 754.73223:478734,75.31346:2066 81.06903:4158 93.06891:2415 95.08463:9428 97.92142:9901 109.09964:3116 121.09972:2591 133.10152:3646 135.11674:9266 144.09283:2393 147.11581:8720 149.13214:3051 161.13158:5254 196.44267:2482 200.22861:2723 235.72412:2598 259.24747:3113 291.36115:2055 369.34656:10505 378.62778:2928 441.40839:3255,0,3166012,3304106,1790355,2369930,2217173,2219339,4940104,4968378,2624920,6598785,1622,30069,44274,27621,36155
13019,16.368,750.71039,CE 24:2,[M+NH4]+,adduct linked to 13100_[M+Na]+; adduct linked to 13101_[M+Na]+,0.062,True,15.72,750.71228,C51H88O2,CE,ZIIQNISLSHWERD-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCCCCCC=CCC=CCCCCCCC,410,True,True,True,,False,False,null,null,93.4,99.7,11.1,67.5,100,595.95,Luca140818_lipid_Pos_hela_2,750.71039:7498164 751.71374:4841337 752.7171:1829250,57.06945:2015 63.85855:2392 67.0532:2501 69.06944:2613 69.23307:4364 69.23635:3127 75.17045:2454 79.05371:2319 80.70674:2052 81.06902:14047 83.0847:3637 93.0689:3922 95.08462:11348 97.10031:2597 107.08482:4358 109.10072:12540 121.10098:3931 123.11678:4179 133.10152:3394 135.11674:8997 136.62372:2041 147.1158:13803 147.46341:2311 149.1304:3137 152.85229:2264 161.13158:13856 184.07365:13707 369.34653:10337 383.72433:2360 388.66998:2229 389.11374:2085 414.3573:2905 426.17313:2616 469.80356:2700 477.93433:2218 634.18317:2749,0,7895,2502079,322967,39577,1399729,4861172,7498164,113436,8862711,5719360,31505,57845,61880,114078,14915
13747,16.695,778.73804,CE 26:2,[M+NH4]+,adduct linked to 13287_[M+H]+; adduct linked to 13839_[M+Na]+,0.438,True,16.35,778.74359,C53H92O2,CE,MDJJSYWQMDLUHE-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCCCCCCCC=CCC=CCCCCCCC,410,True,True,True,,False,False,null,null,90.2,99.9,18.1,67,100,76.68,Luca140818_lipid_Pos_co_culture_3,778.73956:1674098 779.74291:2027548 780.74627:660222,109.09957:8731 119.08488:4076 121.10091:2808 123.11542:3416 126.79041:2125 130.29602:2304 133.09998:2507 135.11517:12030 147.11453:19594 149.13205:5811 154.64424:2354 161.13148:16595 167.0544:5265 175.14673:4229 184.07118:14199 189.16331:3789 215.19225:2961 219.22137:3391 243.21814:5694 287.01355:3035 287.27661:3471 299.06497:9496 300.06335:4094 315.11197:2771 343.49155:2326 355.06845:2688 357.06326:2898 361.02557:4201 365.84991:2344 369.34564:23281 383.20413:2174 451.21878:2801,0,1388489,2116558,1674098,1604933,847194,13932,38816,2007597,10305,1856301,9918,5970,6604,11858,11768
13545,15.437,770.67889,CE 26:6,[M+NH4]+,ion correlated with 13544; adduct linked to 13651_[M+Na]+,0.25,True,14.86,770.68103,C53H84O2,CE,VHLCMXAZNPAWJR-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC,410,True,True,True,,False,False,null,null,93.1,99.8,11.7,67.1,100,59.28,Luca140818_lipid_Pos_co_culture_4,770.67889:7286560 771.68224:6130616 772.6856:2377317,55.05429:2713 57.06983:4693 67.0537:10319 69.04272:2071 69.0694:11171 69.24342:3514 71.08468:9299 79.05368:3552 80.94588:2436 81.06884:31458 82.36454:2293 83.08466:13088 85.1005:4609 86.09585:10749 90.24255:2161 91.05302:3575 93.06886:14902 95.08438:29315 97.10027:14208 105.06911:16121 107.08478:10850 109.10041:34975 111.11604:4069 111.43671:2154 119.0849:10463 121.10075:18182 123.11673:12347 125.00034:4021 133.10001:12855 135.11629:25800 137.13254:2402 145.10048:2769 146.98042:2723 147.11568:38271 149.13206:14209 159.1154:2723 161.13145:33423 163.14662:3676 175.14688:17556 184.07333:39252 184.67676:2183 189.16335:5578 201.16435:4195 215.19228:5744 217.20648:2802 229.42998:2707 243.21817:2836 259.24734:5270 287.27667:2942 346.31076:2811 359.27515:2444 369.34705:28178,0,10134224,9713626,6517668,7286560,8034106,5956226,7664358,7016024,10373047,6676056,243102,388214,431991,251811,92966
7237,8.633,468.43854,Cer 29:0;O3|Cer 20:0;O2/9:0;O,[M+H-H2O]+,adduct linked to 7982_[M+Na]+,0.938,True,8.45,468.4411,C29H59NO4,Cer_HDS,OMVKDXXFLHAJCT-UHFFFAOYSA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCCCC)C(O)CCCCCCC,410,True,True,True,,False,False,null,null,100,100,12.6,85.8,100,11346.44,Luca140818_lipid_Pos_co_culture_4,468.43924:8434569 469.44259:3328213 470.44595:0,57.06942:11900 58.15742:1673 62.05954:19965 67.0537:2700 69.06886:2245 71.08524:5699 75.04384:1757 81.06899:8253 83.08466:7160 84.0799:9081 85.06405:15675 85.10051:2437 89.0589:10179 89.41312:1760 95.08458:3507 98.98328:1995 102.09054:41621 123.11543:6469 131.60516:1832 133.08543:2732 133.10001:2399 223.35841:2011 225.65253:1792 227.98543:1862 294.31467:8284 295.31821:2318 296.32233:14063 311.2951:67288 312.32382:2574 314.3335:3478 328.3186:11706 337.97867:2125 368.35211:63867 369.35309:2081 456.98306:2463 468.43591:16848,13651,6715702,8758840,7504282,8434569,1521320,4881134,6205239,6006488,7707028,5491920,8036176,6341920,6040292,6257962,5078664
